sku,Vendor SKU,Vendor,Vendor Description,Category,Category Description,Description,StyleColor,SizeType
ADYAA00012-RQQ7,,DC,DC,920,SUNGLASSES,AULI 14,RQQ7,0
ADYAA00077-RPZ6,,DC,DC,920,SUNGLASSES,TOUCHSTONE WALLET,RPZ6,0
ADYAA03036-KVJ0,,DC,DC,962,BRANDED ADJUST. CAPS,SKATE TOOL ,KVJ0,0
ADYBP00007-CQY6,,DC,DC,992,BAGS                ,DETENTION,CQY6,0
ADYBP00007-KPF1,,DC,DC,992,BAGS                ,DETENTION,KPF1,0
ADYBP00007-KTF0,,DC,DC,992,BAGS                ,DETENTION BKPK,KTF0,0
ADYBP00007-KVJ0,,DC,DC,992,BAGS                ,DETENTION,KVJ0,0
ADYBP00007-RQP0,,DC,DC,992,BAGS                ,DETENTION,RQP0,0
ADYBP03000-KVJ0,,DC,DC,992,BAGS                ,BUNKER SOLID,KVJ0,0
ADYBP03001-KVJ0,,DC,DC,992,BAGS                ,BUNKER CB,KVJ0,0
ADYBS03016-KVJ0,,DC,DC,525,M. BRANDED SHORTS,LANAI,KVJ0,22
ADYFB00001,,DC,DC,760,K. BRAND SWEAT PANTS,SOFA KING,,20
ADYFT00095-KVJ0,,DC,DC,545,M. BRAND SWEAT SHIRT,RD BAR PO,KTP0,20
ADYFT00123-KVK2,,DC,DC,545,M. BRAND SWEAT SHIRT,DEXTER 14,KVK2,20
ADYFT00144-GQK6,,DC,DC,545,M. BRAND SWEAT SHIRT,RD TIGERSTRIPE,GQK6,20
ADYFT00162-KRP0,,DC,DC,545,M. BRAND SWEAT SHIRT,WHSKY THRT,KRP0,20
ADYFT00162-KVJ0,,DC,DC,545,M. BRAND SWEAT SHIRT,WHSKY THRT,KVJ0,20
ADYFT00191-KVJ0,,DC,DC,545,M. BRAND SWEAT SHIRT,RD BAR 2 PO,KVJ0,20
ADYFT00238-GTP0,,DC,DC,545,M. BRAND SWEAT SHIRT,REBEL STRIPE,GRN,20
ADYFT03078-KVJ0,,DC,DC,545,M. BRAND SWEAT SHIRT,RD BRAWLER PO,KVJ0,20
ADYFT03207-WBB0,,DC,DC,545,M. BRAND SWEAT SHIRT,SKATE REVERSE,WBB0,20
ADYHA00049-KVJ3,,DC,DC,963,BRANDED FITTED CAPS ,FRANCHISE,KVJ3,43
ADYHA00049-RQR0,,DC,DC,963,BRANDED FITTED CAPS ,FRANCHISE,RQR0,43
ADYHA00049-SLE6,,DC,DC,963,BRANDED FITTED CAPS ,FRANCHISE,GRY,43
ADYHA00049-XBBR,,DC,DC,963,BRANDED FITTED CAPS ,FRANCHISE,BLK/RED,43
ADYHA00049-XKKW,,DC,DC,963,BRANDED FITTED CAPS ,FRANCHISE,XKKW,43
ADYHA00058-BTG0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,BTG0,0
ADYHA00058-BTL0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,BTL0,0
ADYHA00058-KSH0,,DC,DC,962,BRANDED ADJUST. CAPS,SNAPPY,KSH0,0
