Str,Vend,Vend_Desc,sku,Description,StyCol,OnHand_Qty,OnHand_AvgCost,OnHand_AvgCost_Val,OnHand_AvgCost_PctRpt,OnHand_Age,YTD_Qty,YTD_Sales,YTD_Sales_PctRpt,YTD_Mkdn_Pct,YTD_Profit,YTD_Profit_PctRpt,YTD_GP_Pct,YTD_ROI,YTD_Turns,PriorYr_YTD_Qty,PriorYr_YTD_Sales,PriorYr_YTD_Sales_PctChg,PriorYr_YTD_Profit,PriorYr_YTD_Profit_PctChg,PriorYr_YTD_OnHandCostValue,PriorYr_YTD_OnHandCostValue_PctChg
1,ADID,ADIDAS,M20400,A-FAITO LT EL,PNK/BLU,3,20.3,60.9,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0
1,ADID,ADIDAS,M25922,F10 FG,WHT/PINK,3,34.32,102.96,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.96,0
1,ADID,ADIDAS,M31547,SPDKCK CONHOOD,GRY/GRN,0,28.8,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,-99.9
1,ADID,ADIDAS,M36887,CONEXT15GLIDER,WHT/GRN,0,10,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-99.9
1,ADID,ADIDAS,M503ZTPCDCAVAL,STRUCTURED FLEX,CAVALIERS,4,9.6,38.4,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4,0
1,ADID,ADIDAS,M880ZTPCAVALANC,STRUCTURED FLEX,AVALANCHE,1,13,13,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
1,ADID,ADIDAS,M880ZTPCBLACKHA,STRUCTURED FLEX,BLACKHAWKS,4,13,52,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,-20
1,ADID,ADIDAS,M880ZTPCBRUINS,STRUCTURED FLEX,BRUINS,1,13,13,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,-50
1,ADID,ADIDAS,M880ZTPCPENGUIN,STRUCTURED FLEX,PENGUINS,3,13,39,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
1,ADID,ADIDAS,M880ZTPCPREDATO,STRUCTURED FLEX,PREDATORS,3,13,39,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0
